user_id,date,role,ground_truth,scenario
SUB301,2026-09-21,Teller,0,normal
SUB301,2026-09-22,Teller,0,normal
SUB301,2026-09-23,Teller,0,normal
SUB301,2026-09-24,Teller,0,normal
SUB301,2026-09-25,Teller,0,normal
SUB302,2026-09-21,Teller,0,normal
SUB302,2026-09-22,Teller,0,normal
SUB302,2026-09-23,Teller,0,normal
SUB302,2026-09-24,Teller,0,normal
SUB302,2026-09-25,Teller,0,normal
SUB303,2026-09-21,Teller,0,normal
SUB303,2026-09-22,Teller,0,normal
SUB303,2026-09-23,Teller,0,normal
SUB303,2026-09-24,Teller,0,normal
SUB303,2026-09-25,Teller,0,normal
SUB304,2026-09-21,Teller,0,normal
SUB304,2026-09-22,Teller,0,normal
SUB304,2026-09-23,Teller,0,normal
SUB304,2026-09-24,Teller,0,normal
SUB304,2026-09-25,Teller,0,normal
SUB305,2026-09-21,Teller,0,normal
SUB305,2026-09-22,Teller,0,normal
SUB305,2026-09-23,Teller,0,normal
SUB305,2026-09-24,Teller,0,normal
SUB305,2026-09-25,Teller,0,normal
SUB306,2026-09-21,Teller,0,normal
SUB306,2026-09-22,Teller,0,normal
SUB306,2026-09-23,Teller,0,normal
SUB306,2026-09-24,Teller,0,normal
SUB306,2026-09-25,Teller,0,normal
SUB307,2026-09-21,Teller,0,normal
SUB307,2026-09-22,Teller,0,normal
SUB307,2026-09-23,Teller,0,normal
SUB307,2026-09-24,Teller,0,normal
SUB307,2026-09-25,Teller,0,normal
SUB308,2026-09-21,Teller,0,normal
SUB308,2026-09-22,Teller,0,normal
SUB308,2026-09-23,Teller,0,normal
SUB308,2026-09-24,Teller,0,normal
SUB308,2026-09-25,Teller,0,normal
SUB309,2026-09-21,Teller,0,normal
SUB309,2026-09-22,Teller,0,normal
SUB309,2026-09-23,Teller,0,normal
SUB309,2026-09-24,Teller,0,normal
SUB309,2026-09-25,Teller,0,normal
SUB310,2026-09-21,Teller,0,normal
SUB310,2026-09-22,Teller,0,normal
SUB310,2026-09-23,Teller,0,normal
SUB310,2026-09-24,Teller,0,normal
SUB310,2026-09-25,Teller,0,normal
SUB311,2026-09-21,CustomerService,0,normal
SUB311,2026-09-22,CustomerService,0,normal
SUB311,2026-09-23,CustomerService,0,normal
SUB311,2026-09-24,CustomerService,0,normal
SUB311,2026-09-25,CustomerService,0,normal
SUB312,2026-09-21,CustomerService,0,normal
SUB312,2026-09-22,CustomerService,0,normal
SUB312,2026-09-23,CustomerService,0,normal
SUB312,2026-09-24,CustomerService,0,normal
SUB312,2026-09-25,CustomerService,0,normal
SUB313,2026-09-21,CustomerService,0,normal
SUB313,2026-09-22,CustomerService,0,normal
SUB313,2026-09-23,CustomerService,0,normal
SUB313,2026-09-24,CustomerService,0,normal
SUB313,2026-09-25,CustomerService,0,normal
SUB314,2026-09-21,CustomerService,0,normal
SUB314,2026-09-22,CustomerService,0,normal
SUB314,2026-09-23,CustomerService,0,normal
SUB314,2026-09-24,CustomerService,0,normal
SUB314,2026-09-25,CustomerService,0,normal
SUB315,2026-09-21,CustomerService,0,normal
SUB315,2026-09-22,CustomerService,0,normal
SUB315,2026-09-23,CustomerService,0,normal
SUB315,2026-09-24,CustomerService,0,normal
SUB315,2026-09-25,CustomerService,0,normal
SUB316,2026-09-21,CustomerService,0,normal
SUB316,2026-09-22,CustomerService,0,normal
SUB316,2026-09-23,CustomerService,0,normal
