timestamp,user_id,role,event_type,records_accessed,download_count,failed_login,account_type,ip_address,is_known_ip
2026-08-03 09:08:00,USR001,Manager,login,0,0,0,Regular,10.0.1.16,1
2026-08-03 10:37:27,USR001,Manager,customer_access,2,0,0,VIP,10.0.1.16,1
2026-08-03 11:44:27,USR001,Manager,customer_access,2,0,0,Regular,10.0.1.16,1
2026-08-03 12:08:47,USR001,Manager,customer_access,5,0,0,Regular,10.0.1.16,1
2026-08-03 12:32:38,USR001,Manager,customer_access,5,0,0,Regular,10.0.1.16,1
2026-08-03 14:06:05,USR001,Manager,download,0,12,0,VIP,10.0.1.16,1
2026-08-03 15:14:28,USR001,Manager,customer_access,1,0,0,Regular,10.0.1.16,1
2026-08-03 16:49:00,USR001,Manager,logout,0,0,0,Regular,10.0.1.16,1
2026-08-04 09:08:00,USR001,Manager,login,0,0,0,Regular,10.0.1.16,1
2026-08-04 12:42:17,USR001,Manager,customer_access,2,0,0,Regular,10.0.1.16,1
2026-08-04 13:05:54,USR001,Manager,customer_access,4,0,0,Regular,10.0.1.16,1
2026-08-04 13:29:40,USR001,Manager,customer_access,3,0,0,Regular,10.0.1.16,1
2026-08-04 14:36:12,USR001,Manager,customer_access,2,0,0,VIP,10.0.1.16,1
2026-08-04 16:34:07,USR001,Manager,download,0,10,0,VIP,10.0.1.16,1
2026-08-04 16:47:00,USR001,Manager,logout,0,0,0,Regular,10.0.1.16,1
2026-08-05 09:07:00,USR001,Manager,login,0,0,0,Regular,10.0.1.16,1
2026-08-05 12:47:35,USR001,Manager,customer_access,4,0,0,Regular,10.0.1.16,1
2026-08-05 12:52:02,USR001,Manager,customer_access,1,0,0,Regular,10.0.1.16,1
2026-08-05 12:58:36,USR001,Manager,customer_access,4,0,0,Regular,10.0.1.16,1
2026-08-05 15:23:14,USR001,Manager,customer_access,1,0,0,Regular,10.0.1.16,1
2026-08-05 15:56:58,USR001,Manager,download,0,5,0,VIP,10.0.1.16,1
2026-08-05 16:24:17,USR001,Manager,customer_access,1,0,0,Regular,10.0.1.16,1
2026-08-05 16:54:00,USR001,Manager,logout,0,0,0,Regular,10.0.1.16,1
2026-08-06 09:01:00,USR001,Manager,login,0,0,0,Regular,10.0.1.16,1
2026-08-06 10:18:27,USR001,Manager,customer_access,3,0,0,Regular,10.0.1.16,1
2026-08-06 10:43:56,USR001,Manager,customer_access,3,0,0,Regular,10.0.1.16,1
2026-08-06 11:32:58,USR001,Manager,customer_access,3,0,0,Regular,10.0.1.16,1
2026-08-06 11:40:10,USR001,Manager,download,0,13,0,Regular,10.0.1.16,1
2026-08-06 15:38:29,USR001,Manager,customer_access,1,0,0,Regular,10.0.1.16,1
2026-08-06 16:56:00,USR001,Manager,logout,0,0,0,Regular,10.0.1.16,1
2026-08-07 09:20:00,USR001,Manager,login,0,0,0,Regular,10.0.1.16,1
