timestamp,user_id,role,action_type,records_accessed,failed_logins,account_sensitivity,ip_address,saved_ip,is_after_hours
2026-09-01 08:30:00,USR001,Teller,View,5,0,Normal,192.168.1.10,192.168.1.10,False
2026-09-01 11:15:00,USR001,Teller,View,10,0,Normal,192.168.1.10,192.168.1.10,False
2026-09-01 14:00:00,USR001,Teller,Download,12,0,Normal,192.168.1.10,192.168.1.10,False
2026-09-01 20:45:00,USR001,Teller,Download,150,4,Sensitive/VIP,203.0.113.50,192.168.1.10,True
2026-09-01 09:00:00,USR002,Customer Service,View,15,0,Normal,192.168.1.12,192.168.1.12,False
2026-09-01 13:20:00,USR002,Customer Service,Download,20,0,Normal,192.168.1.12,192.168.1.12,False
2026-09-01 16:50:00,USR002,Customer Service,View,8,0,Normal,192.168.1.12,192.168.1.12,False
2026-09-01 22:10:00,USR003,Manager,View,30,0,Sensitive/VIP,192.168.1.15,192.168.1.15,True
2026-09-01 22:30:00,USR003,Manager,Download,200,0,Sensitive/VIP,192.168.1.15,192.168.1.15,True
2026-09-01 03:15:00,USR004,IT Admin,View,0,5,Normal,198.51.100.22,192.168.1.20,True
2026-09-01 03:20:00,USR004,IT Admin,Download,500,0,Sensitive/VIP,198.51.100.22,192.168.1.20,True
