user_id,date,role,event_count,failed_login_count,download_total,records_accessed_total,vip_access_count,unknown_ip_count,outside_hours_count,unique_ip_count,first_activity_hour,last_activity_hour
USR001,2026-08-03,Manager,8,0,12,15,2,0,0,1,9.133333333333333,16.816666666666666
USR001,2026-08-04,Manager,7,0,10,11,2,0,0,1,9.133333333333333,16.783333333333335
USR001,2026-08-05,Manager,8,0,5,11,1,0,0,1,9.116666666666667,16.9
USR001,2026-08-06,Manager,7,0,13,10,0,0,0,1,9.016666666666667,16.933333333333334
USR001,2026-08-07,Manager,11,0,56,12,2,0,0,1,9.333333333333334,16.95
USR001,2026-08-10,Manager,7,0,26,2,0,0,0,1,9.333333333333334,16.916666666666668
USR001,2026-08-11,Manager,12,0,16,25,2,0,0,1,9.083333333333334,16.7
USR001,2026-08-12,Manager,11,0,0,27,1,0,0,1,9.05,16.883333333333333
USR001,2026-08-13,Manager,11,0,4,20,1,0,0,1,9.15,16.583333333333332
USR001,2026-08-14,Manager,10,0,37,16,1,0,0,1,9.1,16.85
USR001,2026-08-17,Manager,9,0,16,12,0,0,0,1,9.1,16.916666666666668
USR001,2026-08-18,Manager,8,0,21,11,0,0,0,1,9.033333333333333,16.816666666666666
USR001,2026-08-19,Manager,10,0,54,11,0,0,0,1,9.166666666666666,16.666666666666668
USR001,2026-08-20,Manager,10,0,77,7,2,0,0,1,9.083333333333334,16.9
USR001,2026-08-21,Manager,8,0,12,18,1,0,0,1,9.0,16.916666666666668
USR002,2026-08-03,Teller,10,0,15,14,0,0,0,1,9.016666666666667,16.866666666666667
USR002,2026-08-04,Teller,12,0,0,36,0,0,0,1,9.133333333333333,16.833333333333332
USR002,2026-08-05,Teller,8,0,13,9,0,0,0,1,9.25,16.516666666666666
USR002,2026-08-06,Teller,13,0,13,20,0,0,0,1,9.166666666666666,16.8
USR002,2026-08-07,Teller,14,0,14,25,0,0,0,1,9.016666666666667,16.766666666666666
USR002,2026-08-10,Teller,11,0,19,11,0,0,0,1,9.133333333333333,16.55
USR002,2026-08-11,Teller,11,0,11,12,0,0,0,1,9.266666666666667,16.75
USR002,2026-08-12,Teller,9,0,4,18,0,0,0,1,9.3,16.95
USR002,2026-08-13,Teller,9,0,10,8,0,0,0,1,9.333333333333334,16.683333333333334
USR002,2026-08-14,Teller,14,0,8,24,0,0,0,1,9.033333333333333,16.616666666666667
USR002,2026-08-17,Teller,14,0,4,26,0,0,0,1,9.066666666666666,16.95
USR002,2026-08-18,Teller,13,0,3,30,0,0,0,1,9.183333333333334,16.5
USR002,2026-08-19,Teller,14,0,6,40,1,0,0,1,9.0,16.983333333333334
USR002,2026-08-20,Teller,14,0,16,16,0,0,0,1,9.033333333333333,16.883333333333333
USR002,2026-08-21,Teller,8,0,6,10,0,0,0,1,9.233333333333333,16.85
USR003,2026-08-03,Manager,12,0,0,33,0,0,0,1,9.333333333333334,16.716666666666665
USR003,2026-08-04,Manager,12,0,17,22,0,0,0,1,9.183333333333334,16.916666666666668
USR003,2026-08-05,Manager,8,0,21,10,1,0,0,1,9.066666666666666,16.716666666666665
USR003,2026-08-06,Manager,11,0,3,17,1,0,0,1,9.0,16.95
USR003,2026-08-07,Manager,9,0,2,21,0,0,0,1,9.333333333333334,16.95
USR003,2026-08-10,Manager,10,0,23,17,0,0,0,1,9.333333333333334,16.95
USR003,2026-08-11,Manager,10,0,43,12,2,0,0,1,9.033333333333333,16.716666666666665
USR003,2026-08-12,Manager,7,0,0,19,1,0,0,1,9.266666666666667,16.516666666666666
USR003,2026-08-13,Manager,7,0,13,17,0,0,0,1,9.0,16.95
USR003,2026-08-14,Manager,12,0,16,26,1,0,0,1,9.05,16.8
USR003,2026-08-17,Manager,8,0,2,18,1,0,0,1,9.133333333333333,16.666666666666668
