user_id,date,role,event_count,failed_login_count,download_total,records_accessed_total,vip_access_count,unknown_ip_count,outside_hours_count,unique_ip_count,first_activity_hour,last_activity_hour,anomaly_score,model_prediction
USR002,2026-08-03,Teller,10,0,15,14,0,0,0,1,9.016666666666667,16.866666666666667,0.015417056608134472,1
USR002,2026-08-04,Teller,12,0,0,36,0,0,0,1,9.133333333333333,16.833333333333332,-0.00801964708584757,-1
USR002,2026-08-05,Teller,8,0,13,9,0,0,0,1,9.25,16.516666666666666,-0.04538709966262866,-1
USR002,2026-08-06,Teller,13,0,13,20,0,0,0,1,9.166666666666666,16.8,0.04977764818428093,1
USR002,2026-08-07,Teller,14,0,14,25,0,0,0,1,9.016666666666667,16.766666666666666,-0.008240089763809189,-1
USR002,2026-08-10,Teller,11,0,19,11,0,0,0,1,9.133333333333333,16.55,-0.052044571590022404,-1
USR002,2026-08-11,Teller,11,0,11,12,0,0,0,1,9.266666666666667,16.75,0.03473402475948151,1
USR002,2026-08-12,Teller,9,0,4,18,0,0,0,1,9.3,16.95,0.03895614471208653,1
USR002,2026-08-13,Teller,9,0,10,8,0,0,0,1,9.333333333333334,16.683333333333334,-0.02907606136986085,-1
USR002,2026-08-14,Teller,14,0,8,24,0,0,0,1,9.033333333333331,16.616666666666667,0.012368999803845315,1
USR002,2026-08-17,Teller,14,0,4,26,0,0,0,1,9.066666666666666,16.95,0.01785633231437045,1
USR002,2026-08-18,Teller,13,0,3,30,0,0,0,1,9.183333333333334,16.5,-0.027030226180464467,-1
USR002,2026-08-19,Teller,14,0,6,40,1,0,0,1,9.0,16.983333333333334,-0.15527716577223438,-1
USR002,2026-08-20,Teller,14,0,16,16,0,0,0,1,9.033333333333331,16.883333333333333,-0.02177948567206678,-1
USR002,2026-08-21,Teller,8,0,6,10,0,0,0,1,9.233333333333333,16.85,0.02812901178475491,1
USR007,2026-08-03,Teller,8,0,3,18,0,0,0,1,9.083333333333334,16.983333333333334,0.01677289868929349,1
USR007,2026-08-04,Teller,8,0,14,5,0,0,0,1,9.1,16.533333333333335,-0.07462476157595488,-1
USR007,2026-08-05,Teller,10,0,8,13,0,0,0,1,9.266666666666667,16.583333333333332,0.033270381744763045,1
USR007,2026-08-06,Teller,11,0,4,23,0,0,0,1,9.1,16.683333333333334,0.06766652902243586,1
USR007,2026-08-07,Teller,14,0,8,34,0,0,0,1,9.316666666666666,16.883333333333333,-0.039086667879706605,-1
USR007,2026-08-10,Teller,8,0,5,15,0,0,0,1,9.233333333333333,16.883333333333333,0.04257434751015776,1
