user_id,date,role,event_count,failed_login_count,download_total,records_accessed_total,vip_access_count,unknown_ip_count,outside_hours_count,unique_ip_count,first_activity_hour,last_activity_hour
SUB301,2026-09-21,Teller,13,0,13,27,0,0,0,1,9.083333333333334,16.833333333333332
SUB301,2026-09-22,Teller,10,0,10,24,0,0,0,1,9.066666666666666,16.8
SUB301,2026-09-23,Teller,8,0,3,19,0,0,0,1,9.2,16.933333333333334
SUB301,2026-09-24,Teller,9,0,1,16,0,0,0,1,9.216666666666667,16.783333333333335
SUB301,2026-09-25,Teller,10,0,12,15,0,0,0,1,9.333333333333334,16.533333333333335
SUB302,2026-09-21,Teller,11,0,3,28,0,0,0,1,9.183333333333334,16.983333333333334
SUB302,2026-09-22,Teller,9,0,5,9,0,0,0,1,9.133333333333333,16.55
SUB302,2026-09-23,Teller,9,0,5,13,0,0,0,1,9.183333333333334,16.5
SUB302,2026-09-24,Teller,8,0,3,12,0,0,0,1,9.266666666666667,16.816666666666666
SUB302,2026-09-25,Teller,14,0,10,25,0,0,0,1,9.25,16.683333333333334
SUB303,2026-09-21,Teller,12,0,0,27,0,0,0,1,9.216666666666667,16.766666666666666
SUB303,2026-09-22,Teller,9,0,8,15,0,0,0,1,9.283333333333333,16.983333333333334
SUB303,2026-09-23,Teller,10,0,1,18,0,0,0,1,9.0,16.916666666666668
SUB303,2026-09-24,Teller,9,0,2,22,0,0,0,1,9.266666666666667,16.933333333333334
SUB303,2026-09-25,Teller,12,0,8,27,0,0,0,1,9.1,16.9
SUB304,2026-09-21,Teller,8,0,0,25,0,0,0,1,9.133333333333333,16.516666666666666
SUB304,2026-09-22,Teller,12,0,9,22,0,0,0,1,9.0,16.983333333333334
SUB304,2026-09-23,Teller,8,0,5,10,0,0,0,1,9.333333333333334,16.816666666666666
SUB304,2026-09-24,Teller,12,0,12,17,0,0,0,1,9.066666666666666,16.966666666666665
SUB304,2026-09-25,Teller,9,0,9,14,0,0,0,1,9.2,16.9
SUB305,2026-09-21,Teller,14,0,6,34,0,0,0,1,9.016666666666667,16.616666666666667
SUB305,2026-09-22,Teller,10,0,0,26,0,0,0,1,9.2,16.716666666666665
SUB305,2026-09-23,Teller,10,0,8,14,0,0,0,1,9.1,16.733333333333334
SUB305,2026-09-24,Teller,8,0,10,10,0,0,0,1,9.0,16.716666666666665
SUB305,2026-09-25,Teller,9,0,7,13,0,0,0,1,9.15,16.683333333333334
SUB306,2026-09-21,Teller,10,0,1,15,0,0,0,1,9.033333333333333,16.516666666666666
SUB306,2026-09-22,Teller,12,0,15,18,0,0,0,1,9.15,16.8
SUB306,2026-09-23,Teller,8,0,4,15,0,0,0,1,9.1,16.533333333333335
SUB306,2026-09-24,Teller,13,0,6,16,0,0,0,1,9.283333333333333,16.916666666666668
SUB306,2026-09-25,Teller,8,0,6,3,0,0,0,1,9.05,16.966666666666665
SUB307,2026-09-21,Teller,11,0,11,15,1,0,0,1,9.266666666666667,16.833333333333332
SUB307,2026-09-22,Teller,8,0,4,18,0,0,0,1,9.266666666666667,16.933333333333334
SUB307,2026-09-23,Teller,10,0,4,19,0,0,0,1,9.116666666666667,16.6
SUB307,2026-09-24,Teller,12,0,27,6,0,0,0,1,9.1,16.85
SUB307,2026-09-25,Teller,13,0,5,29,0,0,0,1,9.05,16.55
SUB308,2026-09-21,Teller,14,0,9,25,0,0,0,1,9.016666666666667,16.65
SUB308,2026-09-22,Teller,11,0,3,22,0,0,0,1,9.266666666666667,16.916666666666668
