user_id,date,role,event_count,failed_login_count,download_total,records_accessed_total,vip_access_count,unknown_ip_count,outside_hours_count,unique_ip_count,first_activity_hour,last_activity_hour,anomaly_score,prediction,threshold,ground_truth,scenario
SUB301,2026-09-21,Teller,13,0,13,27,0,0,0,1,9.083333333333334,16.833333333333332,0.0338143385668951,0,-0.0782525761854209,0,normal
SUB301,2026-09-22,Teller,10,0,10,24,0,0,0,1,9.066666666666666,16.8,0.0503121840847953,0,-0.0782525761854209,0,normal
SUB301,2026-09-23,Teller,8,0,3,19,0,0,0,1,9.2,16.933333333333334,0.0281420059700188,0,-0.0782525761854209,0,normal
SUB301,2026-09-24,Teller,9,0,1,16,0,0,0,1,9.216666666666669,16.783333333333335,0.0485739983804232,0,-0.0782525761854209,0,normal
SUB301,2026-09-25,Teller,10,0,12,15,0,0,0,1,9.333333333333334,16.533333333333335,-0.0348246228071067,0,-0.0782525761854209,0,normal
SUB302,2026-09-21,Teller,11,0,3,28,0,0,0,1,9.183333333333334,16.983333333333334,0.0240853336551173,0,-0.0782525761854209,0,normal
SUB302,2026-09-22,Teller,9,0,5,9,0,0,0,1,9.133333333333333,16.55,0.0189169479714961,0,-0.0782525761854209,0,normal
SUB302,2026-09-23,Teller,9,0,5,13,0,0,0,1,9.183333333333334,16.5,0.0045806735969361,0,-0.0782525761854209,0,normal
SUB302,2026-09-24,Teller,8,0,3,12,0,0,0,1,9.266666666666667,16.816666666666666,0.0172308681876866,0,-0.0782525761854209,0,normal
SUB302,2026-09-25,Teller,14,0,10,25,0,0,0,1,9.25,16.683333333333334,0.0227851052522018,0,-0.0782525761854209,0,normal
SUB303,2026-09-21,Teller,12,0,0,27,0,0,0,1,9.216666666666669,16.766666666666666,0.0250080723407211,0,-0.0782525761854209,0,normal
SUB303,2026-09-22,Teller,9,0,8,15,0,0,0,1,9.283333333333331,16.983333333333334,0.0289869004970236,0,-0.0782525761854209,0,normal
SUB303,2026-09-23,Teller,10,0,1,18,0,0,0,1,9.0,16.916666666666668,0.0199405489856966,0,-0.0782525761854209,0,normal
SUB303,2026-09-24,Teller,9,0,2,22,0,0,0,1,9.266666666666667,16.933333333333334,0.0337166322148771,0,-0.0782525761854209,0,normal
SUB303,2026-09-25,Teller,12,0,8,27,0,0,0,1,9.1,16.9,0.0632503720836767,0,-0.0782525761854209,0,normal
