timestamp,user_id,role,event_type,records_accessed,download_count,failed_login,account_type,ip_address,is_known_ip
2026-09-21 09:05:00,SUB301,Teller,login,0,0,0,Regular,10.3.4.133,1
2026-09-21 09:29:51,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-21 09:52:36,SUB301,Teller,customer_access,3,0,0,Regular,10.3.4.133,1
2026-09-21 10:14:14,SUB301,Teller,customer_access,3,0,0,Regular,10.3.4.133,1
2026-09-21 10:31:11,SUB301,Teller,customer_access,2,0,0,Regular,10.3.4.133,1
2026-09-21 11:18:20,SUB301,Teller,download,0,4,0,Regular,10.3.4.133,1
2026-09-21 11:44:54,SUB301,Teller,download,0,5,0,Regular,10.3.4.133,1
2026-09-21 11:51:23,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-21 13:35:42,SUB301,Teller,customer_access,1,0,0,Regular,10.3.4.133,1
2026-09-21 15:57:20,SUB301,Teller,download,0,4,0,Regular,10.3.4.133,1
2026-09-21 16:34:14,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-21 16:36:00,SUB301,Teller,logout,0,0,0,Regular,10.3.4.133,1
2026-09-21 16:50:01,SUB301,Teller,customer_access,3,0,0,Regular,10.3.4.133,1
2026-09-22 09:04:00,SUB301,Teller,login,0,0,0,Regular,10.3.4.133,1
2026-09-22 10:10:17,SUB301,Teller,download,0,5,0,Regular,10.3.4.133,1
2026-09-22 10:32:23,SUB301,Teller,customer_access,1,0,0,Regular,10.3.4.133,1
2026-09-22 11:54:06,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-22 11:55:06,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-22 12:19:24,SUB301,Teller,customer_access,4,0,0,Regular,10.3.4.133,1
2026-09-22 12:54:20,SUB301,Teller,download,0,5,0,Regular,10.3.4.133,1
2026-09-22 12:54:50,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-22 13:43:32,SUB301,Teller,customer_access,4,0,0,Regular,10.3.4.133,1
2026-09-22 16:48:00,SUB301,Teller,logout,0,0,0,Regular,10.3.4.133,1
2026-09-23 09:12:00,SUB301,Teller,login,0,0,0,Regular,10.3.4.133,1
2026-09-23 09:54:36,SUB301,Teller,customer_access,4,0,0,Regular,10.3.4.133,1
2026-09-23 10:32:25,SUB301,Teller,download,0,3,0,Regular,10.3.4.133,1
2026-09-23 13:45:11,SUB301,Teller,customer_access,2,0,0,Regular,10.3.4.133,1
2026-09-23 14:33:47,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-23 14:42:14,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-23 16:20:56,SUB301,Teller,customer_access,3,0,0,Regular,10.3.4.133,1
2026-09-23 16:56:00,SUB301,Teller,logout,0,0,0,Regular,10.3.4.133,1
2026-09-24 09:13:00,SUB301,Teller,login,0,0,0,Regular,10.3.4.133,1
2026-09-24 09:40:36,SUB301,Teller,customer_access,4,0,0,Regular,10.3.4.133,1
2026-09-24 10:54:30,SUB301,Teller,customer_access,1,0,0,Regular,10.3.4.133,1
2026-09-24 11:36:56,SUB301,Teller,customer_access,1,0,0,Regular,10.3.4.133,1
2026-09-24 11:41:38,SUB301,Teller,customer_access,4,0,0,Regular,10.3.4.133,1
2026-09-24 13:41:41,SUB301,Teller,customer_access,1,0,0,Regular,10.3.4.133,1
2026-09-24 14:21:52,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-24 16:02:37,SUB301,Teller,download,0,1,0,Regular,10.3.4.133,1
2026-09-24 16:47:00,SUB301,Teller,logout,0,0,0,Regular,10.3.4.133,1
2026-09-25 09:20:00,SUB301,Teller,login,0,0,0,Regular,10.3.4.133,1
2026-09-25 10:11:16,SUB301,Teller,download,0,3,0,Regular,10.3.4.133,1
2026-09-25 10:28:02,SUB301,Teller,customer_access,1,0,0,Regular,10.3.4.133,1
2026-09-25 10:54:12,SUB301,Teller,customer_access,2,0,0,Regular,10.3.4.133,1
2026-09-25 11:17:47,SUB301,Teller,customer_access,3,0,0,Regular,10.3.4.133,1
2026-09-25 12:56:54,SUB301,Teller,customer_access,4,0,0,Regular,10.3.4.133,1
2026-09-25 13:35:00,SUB301,Teller,download,0,4,0,Regular,10.3.4.133,1
2026-09-25 15:09:27,SUB301,Teller,customer_access,5,0,0,Regular,10.3.4.133,1
2026-09-25 15:41:51,SUB301,Teller,download,0,5,0,Regular,10.3.4.133,1
2026-09-25 16:32:00,SUB301,Teller,logout,0,0,0,Regular,10.3.4.133,1
2026-09-21 09:11:00,SUB302,Teller,login,0,0,0,Regular,10.3.4.69,1
2026-09-21 10:52:14,SUB302,Teller,customer_access,1,0,0,Regular,10.3.4.69,1
2026-09-21 11:01:30,SUB302,Teller,customer_access,4,0,0,Regular,10.3.4.69,1
2026-09-21 11:05:06,SUB302,Teller,customer_access,4,0,0,Regular,10.3.4.69,1
2026-09-21 11:07:56,SUB302,Teller,customer_access,5,0,0,Regular,10.3.4.69,1
2026-09-21 12:35:35,SUB302,Teller,download,0,3,0,Regular,10.3.4.69,1
2026-09-21 13:32:45,SUB302,Teller,customer_access,5,0,0,Regular,10.3.4.69,1
2026-09-21 14:45:42,SUB302,Teller,customer_access,3,0,0,Regular,10.3.4.69,1
